Database???Annual
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Total Value of Imports and Exports Sri Lanka(USD 10000),,419137,590488,416049,448761,457679,439803,456177,456256,404107,361911,316305,314161,209712,163931,169063,143211,114125,97627,71745
Total Value of Imports and Exports Syria(USD 10000),,42236,48363,83485,131522,127364,110415,91861,102616,98650,69486,120036,244640,248326,222059,230322,187674,140621,90637,72067
Total Value of Imports and Exports Thailand(USD 10000),,13377063,13118721,9865398,9174649,8750835,8013781,7572743,7545955,7262116,7124055,6975086,6473385,5293702,3819082,4129309,3463812,2772649,2181119,1734208
Total Value of Imports and Exports Turkey(USD 10000),,3832653,3420076,2407789,2082052,2154546,2190494,1947493,2155148,2301085,2223323,1909557,1873733,1511058,1009475,1256925,1176802,806924,487547,341267
Total Value of Imports and Exports United Arab Emirates(USD 10000),,9883578,7232493,4936517,4874963,4588902,4103512,4006689,4853420,5479786,4623482,4042029,3511922,2568689,2122688,2825694,2003565,1420153,1077544,814561
Total Value of Imports and Exports Republic of Yemen(USD 10000),,339057,305628,355536,368565,259454,230300,185844,232811,513417,520012,555915,423998,400294,240595,439446,270834,303481,321479,191625
Total Value of Imports and Exports Vietnam(USD 10000),,23181824,23021449,19229008,16198556,14783304,12199187,9827573,9584877,8363641,6547819,5043941,4020784,3008608,2104518,1945845,1511758,994943,819674,674202
Total Value of Imports and Exports P. R. China(USD 10000),,12112566,15691161,12526628,12979220,14622157,13236937,12802993,14336931,14488044,15754044,14294219,12261441,10687906,8641218,9246120,8577298,7333283,5516291,3865454
Total Value of Imports and Exports Taiwan China(USD 10000),26780000,31856351,32620000,26061536,22812207,22624292,19993912,17908843,18809668,19828375,19703896,16898106,16001761,14541314,10622151,12921499,12448688,10783172,9122989,7830374
Total Value of Imports and Exports Timor Leste(USD 10000),,42534,37358,19249,16751,13540,13417,16461,10526,6044,4778,6316,7218,4308,2328,953,951,1676,127,171
Total Value of Imports and Exports Kazakhstan(USD 10000),,3109028,2524982,2150823,2200277,1987814,1794313,1309767,1429019,2245167,2859596,2568157,2496123,2044852,1412913,1755234,1387777,835775,680611,449809
Total Value of Imports and Exports Kirghizia(USD 10000),,1542368,755374,290017,634656,561112,542386,567669,434069,529794,513770,516232,497645,419964,533028,933338,377923,222570,97220,60229
Total Value of Imports and Exports Tadzhikistan(USD 10000),,257059,185862,106214,167469,150593,134811,175634,184742,251594,195812,185670,206901,143256,140669,149993,52405,32378,15794,6893
Total Value of Imports and Exports Turkmenistan(USD 10000),,1117411,735743,651537,911688,843630,694324,590177,864313,1047044,1003090,1037250,547734,156964,95744,83038,35268,17858,10996,9844
Total Value of Imports and Exports Uzbekistan(USD 10000),,970012,803706,662202,721287,626919,422087,361461,349583,427612,455145,287519,216661,248327,192087,160670,112819,97209,68056,57551
Total Value of Imports and Exports Other Countries (Regions) in Asia(USD 10000),,44,2,14,140,11,150,51,97,25,14,,11,38,5,41,27,17,23,43
Data Sources£ºNational Bureau of Statistics
